fecha_hora,real,GBM cuadratica,GBM absoluta (MAE),GBM MCC,LEAR (LASSO),LEAR MCC
2026-04-26 18:00:00,278.12799,315.69571807815174,308.53820094979994,313.4204057473518,328.6966281289089,312.0693840398276
2026-04-26 19:00:00,308.12799,353.97254386768975,316.7354191744281,331.48179194935875,412.0866498154488,329.5714421434817
2026-04-26 20:00:00,308.12799,331.32934759285143,301.9158526993554,309.2917885941742,350.04252498058435,313.60004652674695
2026-04-26 21:00:00,308.12799,315.8709131382279,286.718932816252,286.0510505671622,320.23922474555496,296.98083315204013
2026-04-26 22:00:00,268.12799,297.9684508313583,284.6638112124876,282.3073385608652,298.3616031072857,280.34727439417264
2026-04-26 23:00:00,258.33999,271.14292963231577,273.58580082779196,271.08466335637445,290.38418014406324,267.07778013224674
2026-04-27 00:00:00,251.80531,242.37694452007466,230.73627529985137,244.78956967114033,247.69228333608953,257.03726666365935
2026-04-27 01:00:00,245.80531,244.19681741821685,257.19843138315616,251.41794199859615,253.5765545662361,247.6732336973385
2026-04-27 02:00:00,245.80531,237.3768980989845,251.24422117043915,250.95122568370704,248.02134608716696,246.01111174639323
2026-04-27 03:00:00,245.80531,241.98781471639666,246.2782283157472,249.3538408358383,239.49755783303553,243.99563246986122
2026-04-27 04:00:00,251.80531,254.56493380369582,247.2424627112275,250.2752955183484,257.844769948023,245.90621627246972
2026-04-27 05:00:00,251.80531,252.42924230555434,251.12466521638336,260.6312205951131,264.4770449032141,248.57711510481533
2026-04-27 06:00:00,251.80531,260.38680527203627,269.01398606377194,262.9623618374347,260.0145098178916,250.04241261391172
2026-04-27 07:00:00,251.80531,244.8548578768687,251.1365167707012,259.06332792075386,261.6047048545058,249.598747600565
2026-04-27 08:00:00,251.80531,247.5414865270669,265.0718243313951,257.88833170727855,259.1993287553093,249.28059665023181
2026-04-27 09:00:00,251.80531,251.45927182624152,255.6328340544327,259.3341818011395,255.14649757063722,247.16829483805185
2026-04-27 10:00:00,251.80531,244.43975599312333,248.32779018561683,251.31839049766646,252.63940021792837,248.47954012115383
