ds,y,NBEATSx,ventana,semilla
2026-01-20 00:00:00,174.33117,147.80417,1a,42
2026-01-20 01:00:00,174.33117,135.89511,1a,42
2026-01-20 02:00:00,174.33117,121.76334,1a,42
2026-01-20 03:00:00,174.33117,121.144005,1a,42
2026-01-20 04:00:00,174.33117,124.632355,1a,42
2026-01-20 05:00:00,176.23117,128.48227,1a,42
2026-01-20 06:00:00,176.33117,137.91624,1a,42
2026-01-20 07:00:00,176.23117,144.07195,1a,42
2026-01-20 08:00:00,174.33117,146.89244,1a,42
2026-01-20 09:00:00,174.33117,138.0606,1a,42
2026-01-20 10:00:00,174.33117,149.4041,1a,42
2026-01-20 11:00:00,174.33117,155.81711,1a,42
2026-01-20 12:00:00,174.33117,156.93393,1a,42
2026-01-20 13:00:00,176.23117,158.00072,1a,42
2026-01-20 14:00:00,176.33117,161.16986,1a,42
2026-01-20 15:00:00,176.33117,185.24277,1a,42
2026-01-20 16:00:00,176.33117,197.7808,1a,42
2026-01-20 17:00:00,178.33117,220.25073,1a,42
2026-01-20 18:00:00,181.33117,264.2975,1a,42
2026-01-20 19:00:00,191.33117,339.10986,1a,42
2026-01-20 20:00:00,181.33117,323.5561,1a,42
2026-01-20 21:00:00,181.33117,264.37585,1a,42
2026-01-20 22:00:00,178.33117,200.88521,1a,42
2026-01-20 23:00:00,176.33117,186.73976,1a,42
2026-01-21 00:00:00,175.89024,177.52577,1a,42
2026-01-21 01:00:00,175.89024,172.77715,1a,42
2026-01-21 02:00:00,175.89024,162.74782,1a,42
2026-01-21 03:00:00,175.89024,160.64044,1a,42
2026-01-21 04:00:00,175.89024,158.9258,1a,42
2026-01-21 05:00:00,175.89024,160.87962,1a,42
2026-01-21 06:00:00,177.89024,168.79735,1a,42
2026-01-21 07:00:00,175.89024,177.26352,1a,42
2026-01-21 08:00:00,175.89024,187.18541,1a,42
2026-01-21 09:00:00,175.89024,182.22668,1a,42
2026-01-21 10:00:00,175.89024,184.47238,1a,42
2026-01-21 11:00:00,175.89024,184.23662,1a,42
2026-01-21 12:00:00,175.89024,183.82928,1a,42
2026-01-21 13:00:00,175.89024,184.97876,1a,42
2026-01-21 14:00:00,175.89024,187.70499,1a,42
2026-01-21 15:00:00,177.89024,219.95596,1a,42
