origen,fecha_hora,real,modelo,prediccion
Origen 1,2020-07-13 21:00:00,176.62646,Persistencia,181.88642
Origen 1,2020-07-13 22:00:00,142.70646,Persistencia,123.88642
Origen 1,2020-07-13 23:00:00,105.72646,Persistencia,103.88642
Origen 1,2020-07-14 00:00:00,98.58544,Persistencia,86.96146
Origen 1,2020-07-14 01:00:00,98.58544,Persistencia,105.22646
Origen 1,2020-07-14 02:00:00,98.58544,Persistencia,105.22646
Origen 1,2020-07-14 03:00:00,85.82044,Persistencia,105.22646
Origen 1,2020-07-14 04:00:00,98.58544,Persistencia,101.72646
Origen 1,2020-07-14 05:00:00,98.58544,Persistencia,101.72646
Origen 1,2020-07-14 06:00:00,99.58544,Persistencia,101.72646
Origen 1,2020-07-14 07:00:00,135.08544,Persistencia,105.22646
Origen 1,2020-07-14 08:00:00,135.08544,Persistencia,105.72646
Origen 1,2020-07-14 09:00:00,135.08544,Persistencia,161.72646
Origen 1,2020-07-14 10:00:00,135.08544,Persistencia,176.62646
Origen 1,2020-07-14 11:00:00,159.48544,Persistencia,176.62646
Origen 1,2020-07-14 12:00:00,159.48544,Persistencia,176.62646
Origen 1,2020-07-14 13:00:00,159.48544,Persistencia,176.62646
Origen 1,2020-07-14 14:00:00,190.58544,Persistencia,176.62646
Origen 1,2020-07-14 15:00:00,159.48544,Persistencia,176.62646
Origen 1,2020-07-14 16:00:00,159.48544,Persistencia,176.62646
Origen 1,2020-07-14 17:00:00,159.48544,Persistencia,176.62646
Origen 1,2020-07-14 18:00:00,159.48544,Persistencia,176.62646
Origen 1,2020-07-14 19:00:00,179.58544,Persistencia,176.62646
Origen 1,2020-07-14 20:00:00,179.58544,Persistencia,176.62646
Origen 1,2020-07-14 21:00:00,159.48544,Persistencia,176.62646
Origen 1,2020-07-14 22:00:00,149.82644,Persistencia,142.70646
Origen 1,2020-07-14 23:00:00,135.08544,Persistencia,105.72646
Origen 1,2020-07-15 00:00:00,121.06784,Persistencia,98.58544
Origen 1,2020-07-15 01:00:00,121.06784,Persistencia,98.58544
Origen 1,2020-07-15 02:00:00,121.06784,Persistencia,98.58544
Origen 1,2020-07-15 03:00:00,121.06784,Persistencia,85.82044
Origen 1,2020-07-15 04:00:00,121.06784,Persistencia,98.58544
Origen 1,2020-07-15 05:00:00,121.06784,Persistencia,98.58544
Origen 1,2020-07-15 06:00:00,121.06784,Persistencia,99.58544
Origen 1,2020-07-15 07:00:00,121.06784,Persistencia,135.08544
Origen 1,2020-07-15 08:00:00,136.06784,Persistencia,135.08544
Origen 1,2020-07-15 09:00:00,136.06784,Persistencia,135.08544
Origen 1,2020-07-15 10:00:00,139.56784,Persistencia,135.08544
Origen 1,2020-07-15 11:00:00,191.06784,Persistencia,159.48544
Origen 1,2020-07-15 12:00:00,191.06784,Persistencia,159.48544
Origen 1,2020-07-15 13:00:00,187.06784,Persistencia,159.48544
Origen 1,2020-07-15 14:00:00,187.06784,Persistencia,190.58544
Origen 1,2020-07-15 15:00:00,139.56784,Persistencia,159.48544
Origen 1,2020-07-15 16:00:00,139.56784,Persistencia,159.48544
Origen 1,2020-07-15 17:00:00,136.06784,Persistencia,159.48544
Origen 1,2020-07-15 18:00:00,187.06784,Persistencia,159.48544
Origen 1,2020-07-15 19:00:00,191.06784,Persistencia,179.58544
Origen 1,2020-07-15 20:00:00,191.06784,Persistencia,179.58544
Origen 1,2020-07-15 21:00:00,187.06784,Persistencia,159.48544
Origen 1,2020-07-15 22:00:00,139.56784,Persistencia,149.82644
Origen 1,2020-07-15 23:00:00,121.06784,Persistencia,135.08544
Origen 1,2020-07-16 00:00:00,122.43576,Persistencia,121.06784
Origen 1,2020-07-16 01:00:00,122.43576,Persistencia,121.06784
Origen 1,2020-07-16 02:00:00,122.43576,Persistencia,121.06784
Origen 1,2020-07-16 03:00:00,122.43576,Persistencia,121.06784
Origen 1,2020-07-16 04:00:00,122.43576,Persistencia,121.06784
Origen 1,2020-07-16 05:00:00,122.43576,Persistencia,121.06784
Origen 1,2020-07-16 06:00:00,122.43576,Persistencia,121.06784
Origen 1,2020-07-16 07:00:00,122.43576,Persistencia,121.06784
Origen 1,2020-07-16 08:00:00,140.43576,Persistencia,136.06784
Origen 1,2020-07-16 09:00:00,144.93576,Persistencia,136.06784
Origen 1,2020-07-16 10:00:00,144.93576,Persistencia,139.56784
Origen 1,2020-07-16 11:00:00,175.43576,Persistencia,191.06784
Origen 1,2020-07-16 12:00:00,175.43576,Persistencia,191.06784
Origen 1,2020-07-16 13:00:00,175.43576,Persistencia,187.06784
Origen 1,2020-07-16 14:00:00,175.43576,Persistencia,187.06784
Origen 1,2020-07-16 15:00:00,175.43576,Persistencia,139.56784
Origen 1,2020-07-16 16:00:00,175.43576,Persistencia,139.56784
Origen 1,2020-07-16 17:00:00,144.93576,Persistencia,136.06784
Origen 1,2020-07-16 18:00:00,175.43576,Persistencia,187.06784
Origen 1,2020-07-16 19:00:00,175.43576,Persistencia,191.06784
Origen 1,2020-07-16 20:00:00,175.43576,Persistencia,191.06784
Origen 1,2020-07-16 21:00:00,144.93576,Persistencia,187.06784
Origen 1,2020-07-16 22:00:00,140.43576,Persistencia,139.56784
Origen 1,2020-07-16 23:00:00,130.43576,Persistencia,121.06784
Origen 1,2020-07-17 00:00:00,132.04658,Persistencia,122.43576
Origen 1,2020-07-17 01:00:00,126.04658,Persistencia,122.43576
Origen 1,2020-07-17 02:00:00,136.04658,Persistencia,122.43576
Origen 1,2020-07-17 03:00:00,101.04658,Persistencia,122.43576
Origen 1,2020-07-17 04:00:00,136.04658,Persistencia,122.43576
Origen 1,2020-07-17 05:00:00,126.04658,Persistencia,122.43576
Origen 1,2020-07-17 06:00:00,126.04658,Persistencia,122.43576
Origen 1,2020-07-17 07:00:00,132.04658,Persistencia,122.43576
Origen 1,2020-07-17 08:00:00,132.04658,Persistencia,140.43576
Origen 1,2020-07-17 09:00:00,132.04658,Persistencia,144.93576
Origen 1,2020-07-17 10:00:00,132.04658,Persistencia,144.93576
Origen 1,2020-07-17 11:00:00,136.04658,Persistencia,175.43576
